store_id,store_name,address,status,place_id_returned,elapsed_s,note
08c453f9-32dc-4daa-b111-484377de9d16,최부영칼국수 인천본점,"인천 남동구 구월로 129  (간석동, 대성빌딩) 301호",place_not_found,,44.5,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
bbaf6bb8-b158-4ddc-89b0-117b3b3c93ee,구주 부천역점,경기 부천시 원미구 심곡동 190-17 1층,place_not_found,,44.9,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
f257ac70-0c02-45f3-ac3b-6057df5bb49b,영칼로리포케 인천시청구월점,"인천 남동구 미래로 30  (구월동, 대명어반스테이) 106호, 107호",place_not_found,,46.8,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
ac5a7b26-e888-40bc-bfdf-b79f6d24807d,색색주담,인천 부평구 부평동 154-15 5층,place_not_found,,44.4,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
92896f2b-e4c1-46f0-90b5-32d720906bab,신차이나 금호오션점,인천 남동구 고잔동 705-15,collected,1033157865,40.0,
e7bce41a-44f8-4a55-945d-38479c57746e,링코노래타운 구월본점,인천 남동구 구월동 1473,error,,33.0,불완전 렌더 — DB 기존 데이터 보존
2f3fa583-10a0-48a4-91a5-e52a6efec523,꾼남도맛집,경기 안산시 단원구 선부동 1077-6,collected,1735202251,44.2,
f786ab39-9e5b-40c9-b790-134d3c3ba296,주주총회 실내포차,인천 동구 송현동 66-196,collected,1144720310,48.0,
f4f22eab-9584-4c0a-afab-6acd188ce74f,나사장네최강대패 신기시장점,인천 미추홀구 주안동 1464-46,collected,1174387109,40.3,
c7b09dc5-47d7-4df9-b162-8982e85a9f1b,수니열닭발 부천점,경기 부천시 원미구 심곡동 381-8 1층,place_not_found,,44.8,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
be08f536-4834-4db7-8a5e-575e30d1c1ef,복고 쟁반냉삼,인천 부평구 시장로30번길 14  (부평동),collected,1500438622,45.5,
f4111a9b-6e9a-4d90-b057-7b60ba97c7f3,강화옥 뼈국 본점,인천 강화군 강화읍 관청리 185,collected,1046263092,50.2,
5752a262-5e75-480e-a3ec-cc7881cc2222,로뎀나무 수제돈까스&한식뷔페,경기 시흥시 정왕동 2596 2층,place_not_found,,44.8,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
5f2d5f96-4dfe-4124-8a29-e46e2abf68fd,교동쭈짬,인천 강화군 강화읍 신문리 586-7,collected,1012607504,44.2,
52369e81-f1c2-47a5-983b-b7ded31be7fe,백야 한식주점,인천 부평구 경원대로1403번길 15  (부평동)2층,place_not_found,,45.1,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
0ef6ce7d-dc90-44b9-b907-1e3e7aa1945f,폭스노래타운,인천 남동구 구월동 1535,collected,1055705782,44.5,
a07db1bf-3a18-461e-904f-d1623494b67c,거북선횟집,경기 시흥시 정왕동 2036-20,collected,12017949,39.0,
81a0e673-d18c-4fce-8fcb-13bda6385c96,외포횟집,인천 강화군 내가면 외포리 582-4,collected,16565107,42.8,
2e5c7efe-ad7f-4918-b10a-1f0d9b7659ec,봉자막창 부천원종점,경기 부천시 오정구 원종로 7  (원종동),error,,32.2,불완전 렌더 — DB 기존 데이터 보존
